,BCOLOMBIA.CL,BOGOTA.CL,BVC.CL,CELSIA.CL,CNEC.CL,CORFICOLCF.CL,ECOPETROL.CL,ENKA.CL,GEB.CL,GRUBOLIVAR.CL,GRUPOARGOS.CL,GRUPOAVAL.CL,GRUPOSURA.CL,HCOLSEL.CL,ICOLCAP.CL,ISA.CL,MINEROS.CL,NUTRESA.CL,PFAVAL.CL,PFBCOLOM.CL,PFCORFICOL.CL,PFDAVVNDA.CL,PFGRUPOARG.CL,PFGRUPSURA.CL,PROMIGAS.CL,TERPEL.CL,AAPL,BRK-B,CBU7.L,CENCOSUD.SN,CHILE.SN,EIMI.L,F,FALABELLA.SN,GE,JNJ,LQDA,NKE,PFE,UBER
BCOLOMBIA.CL,0.0020895438663353456,0.00048677625783589176,7.942122596457325e-05,0.0002113407925218333,4.642783925545886e-05,0.0009637538158227798,0.00025322042633297355,0.0005541071854930151,0.00020026784112855335,0.0003259624034265496,0.0005165321950110157,0.0006293834844639483,0.0004323859563343406,0.00030658088519217854,0.00036547976104593893,0.0001513389327667483,0.0012444826329034628,0.00020582530433587088,0.0008343212137883426,0.0005922048974813436,0.0003057191935404959,0.0003825877304181302,0.0005652990406820831,0.00052537989967785,0.00029275184140305346,0.0002562159684461071,6.861801373754456e-05,-0.00032503188053151986,-1.973707019478183e-05,0.00017503662047012767,6.672136489986374e-05,0.0002968797828869625,0.0001564061968185238,0.00012943683053056758,4.211865331020033e-06,0.00016321180156232394,0.0004095201656197579,0.00034989267982469147,0.00018216650595785495,6.0813737888790226e-05
BOGOTA.CL,0.0004867762578358918,0.001671763094541235,0.0003834057640652979,0.00031307878927676813,0.0003765741719716556,0.001167885561143165,0.00044657729568072267,0.00037825143075384315,0.000158647047959095,0.00046623554457155187,0.000390641730856453,0.0010318942268926026,0.0007150050191544496,0.0005110898661192508,0.0004914306995212006,0.0005492158621771499,0.002579779927511429,8.950091379552847e-05,0.0010739008724491702,0.0006750927368695922,0.0005086345875516785,0.0006524335892695022,0.0003778057078449396,0.0010489651114805514,0.00029832820251089525,0.0005114388544151881,0.0001242395351044026,-0.0004191930676169531,-2.3963985956528004e-05,0.00011706892274708169,0.00012958332606855056,0.00041886098867479515,-0.0003072514894983159,5.967015772231892e-05,-0.00017557432959363896,0.0002663020545154877,0.00038848280820056306,0.00034730081737800424,0.00027047953396298603,-7.165917537588727e-05
BVC.CL,7.942122596457325e-05,0.00038340576406529803,0.0022269156121028453,0.0001509235727111885,9.050948952662725e-05,0.00037823337584029276,7.229376813726e-05,-0.00047433465986203874,0.001062806005616421,0.0003476156549204528,-1.8311046726007345e-05,0.0010641788264624007,-0.00019825495428005453,0.000355223899794494,0.00028327526716913934,0.00029296904707850485,0.0011815907530199163,0.0004457998515593584,0.0006928544452317055,0.00042778732475999543,0.0007434113179123579,-0.00010470268729045305,0.00046447019934309805,0.0010904619688083,-0.00017617647948814445,-9.171649635895323e-05,-2.0422707324819995e-06,0.0007413646264980145,0.00013667512322620133,0.000483272313378277,-2.018564266435458e-05,-8.487558359982864e-05,0.0006348096522552201,0.0001602253161711792,0.0002573938477321877,0.0005118170175662666,-0.0007807877596290476,0.0005969984569266438,0.00026139504165717043,-0.0006946172899720892
CELSIA.CL,0.0002113407925218333,0.00031307878927676813,0.0001509235727111885,0.0006108000373005122,0.0002364844173881741,0.0006223055813514779,0.00012125793673107802,-0.00012230155452613883,0.0002505657605808865,0.0004522000295553664,0.0003831622535203952,0.00035478376338828917,0.0004706648542318761,0.00019405405762964342,0.0002222215102232261,0.00036092013875980804,0.0017685636592853402,-0.0003306843436837556,0.0003856707177534835,0.00029689469189875625,0.0002059470047595512,0.00044877691145477696,0.00021353420194083258,0.00044711823343743506,0.0002749613971745338,0.00015849947568063552,1.8642318838675895e-05,-0.0002479453892813271,-2.5492303838564886e-05,-4.1871207558410034e-05,-0.00012159602243890221,0.00010662240149898042,-6.198119182917815e-05,6.343024100547306e-05,-9.371426840829501e-05,6.033407663851671e-05,0.00019873403485002,0.00013652191492301253,0.0003172749583431088,-6.413140309101952e-05
CNEC.CL,4.642783925545885e-05,0.0003765741719716555,9.050948952662727e-05,0.00023648441738817412,0.002156293540166034,0.0003523628165335639,0.0007720211174770096,-0.0001417201596754086,-7.549181663374248e-05,0.000510003256598868,0.000977840454480855,0.0010217647851535393,0.0003353913198794463,0.0003756692596827292,0.0002870854661380517,0.000494308887791522,0.0006106985110425293,-0.0007815820695354047,0.0008606423988528083,0.0003784979183525749,0.0002643761219441475,0.0006415174065211096,0.000413998441186845,0.0007245971888597689,3.2718769752062825e-05,0.0003828478756392232,0.00016422219605889503,-0.00024310110867796194,-1.032281183893445e-05,-1.0804250493897702e-05,-0.00018472398140190394,0.0001291640889408518,-0.00031408206398807995,-6.970220096881568e-05,-0.0003187842242610037,0.00010234605038154262,-0.0003208077899252159,-0.00014621500834495152,0.00040132473598157966,-2.2111033050549164e-05
CORFICOLCF.CL,0.0009637538158227801,0.001167885561143165,0.0003782333758402927,0.0006223055813514778,0.0003523628165335639,0.005216776132818122,0.0005505843345411222,0.0007932383350645506,0.0009882096613910202,0.0015383490597722144,0.00037914518744519934,0.0024694605784851996,0.0030606137491203163,0.001023640157578607,0.0009854430230031052,0.0017600774662910408,0.0073347240110279,-0.0008792344032984633,0.0024086837348297314,0.0013555478205594974,0.0012196493546250493,0.0018952473139653165,0.0003849971715020737,0.00233700430415093,0.0005600335953413186,0.00066546440000725,-9.626718936598474e-05,-0.00033328496288815294,-1.5233121842884897e-05,0.0001342194706819942,-7.32000238932862e-06,0.0006646668622633245,-0.0005149689854360641,0.0002724851093759938,-0.0002450544970300889,0.0006334623819552807,0.0013308296320946556,0.0007827238080813115,0.000456264233570883,-5.222018532701997e-05
ECOPETROL.CL,0.00025322042633297355,0.00044657729568072267,7.229376813725998e-05,0.00012125793673107801,0.0007720211174770097,0.0005505843345411224,0.0023950310008800137,0.0012431744168069406,7.314052382875882e-05,6.307073396716803e-05,0.0004042878019585341,0.0015705381299909967,2.9542386244102124e-05,0.0004993170487434096,0.0005438903708224082,0.0006805540442030174,0.00021888170770111175,0.0011329363587126654,0.0012062368429915985,0.0007870985955415916,0.0002071175843595571,0.0004984141515547141,0.0002767964612645059,0.0003824832999102878,-0.00018359279538349157,0.0002638443272266687,0.0005888589918161433,-0.00018229502424502522,-2.704484717485498e-05,0.00020939470931487244,0.000185050829639741,0.00013708915486554976,-0.00035976900904738016,-0.00012702408356606528,6.101837651418148e-05,0.00020508950376340525,0.0002603999727772102,0.00018849941374731306,0.00020575558332851636,0.0005572652821645443
ENKA.CL,0.0005541071854930151,0.00037825143075384315,-0.00047433465986203885,-0.00012230155452613883,-0.0001417201596754086,0.0007932383350645507,0.0012431744168069406,0.0040335272436110015,-0.0005391899804239315,-0.000428850364858364,-0.00012096647070903723,0.0008920999777207038,-0.0002525917979125932,0.00011412284276472747,0.0005127332838781931,0.0002518228590860492,-0.004292725466258835,0.0026358508040130826,0.0008796215548762268,0.0008755609753950139,-4.218593203896647e-05,-0.00011404098341009728,-4.2642451154820794e-05,-8.21393707281412e-05,-0.0004104472912646904,0.0001125685105183314,0.0008121949145741572,-0.0001287846253133517,-3.731963907296471e-05,0.0005587036861278069,0.000710115325852091,0.00027305561380134647,-0.0004260541299811027,2.0338853889253888e-05,0.0006662731931115717,0.00014397297612170714,0.0020465599198509076,-7.011445092317641e-06,-0.0003215894879368884,0.001184176082539593
GEB.CL,0.00020026784112855335,0.00015864704795909502,0.0010628060056164209,0.00025056576058088653,-7.549181663374248e-05,0.0009882096613910202,7.314052382875882e-05,-0.0005391899804239315,0.00236937390425163,0.0004654964386203482,-0.00020518563526842327,0.0011921764713147905,0.0005486394755156479,0.0004126545295421161,0.0004576064707686943,0.0010313440679075435,0.005784825598293566,0.0005485091973767547,0.00030436439707487385,0.0004593804441159764,0.000562643805366622,0.00035986144975532256,0.0004495289636857339,0.0015268328505962103,-0.0005901085003574323,-0.0005556825885300215,9.95460463663946e-05,0.0009532299046057293,0.0001412537330124427,0.00026065879774157786,-0.0003413896901223129,-0.00034831005213855227,0.0010106394738124286,1.0528817187323457e-05,0.00045932022004945976,0.0005101042795020273,-0.0006357673496681435,0.0012238326203633779,0.0005892636484801638,-0.0009488595880027968
GRUBOLIVAR.CL,0.0003259624034265495,0.0004662355445715519,0.00034761565492045273,0.0004522000295553664,0.0005100032565988679,0.0015383490597722146,6.307073396716803e-05,-0.0004288503648583639,0.0004654964386203482,0.0022699531297657167,0.0006003735782620063,0.0006939626525787939,0.0017281920973817517,0.000473213477575926,0.00036464160689889287,0.000810721531788344,0.002162602191490822,-0.0008234106916007877,0.0009253426718263907,0.00019826764626991737,0.0007046296132490091,0.0010335862215041251,0.00020037254656633195,0.0016300966708815404,0.0002292072259910744,0.0004567986510510164,-0.0003736723582586723,-0.00012800349977218524,-8.147410476494688e-06,-0.0002934642242250236,-0.00021261959660170913,9.211762465319951e-05,-0.0004084803523710181,0.00012256068202888944,-0.0007706955184980499,0.00037193724579220264,-0.00021763772736824218,-6.286077672095023e-05,0.0003542568780053942,-4.420591166140541e-05
GRUPOARGOS.CL,0.0005165321950110157,0.000390641730856453,-1.8311046726007345e-05,0.00038316225352039526,0.000977840454480855,0.00037914518744519934,0.0004042878019585341,-0.00012096647070903723,-0.00020518563526842327,0.0006003735782620064,0.0021717733942126366,0.0007942613312268402,0.0009713029812658735,0.00039114140501134083,0.00038995584400914777,0.00045464391855592936,-1.6929987246736418e-05,-0.0010869664367943262,0.0007188721340599668,0.00044979805561950494,0.00011573363594787148,0.0008116786848472663,0.000841467139083249,0.0010548518534315794,0.0002664867098596955,0.0003583134478213733,0.0003056239583050175,-0.0005664592236806511,-6.743684806282511e-05,-0.00011112178126946658,-9.541717854582725e-05,0.00016878531814443334,-0.0006673200804715918,-3.9487407829388854e-05,-0.0004792457651092432,0.00011229625478788637,-0.00020385381665391508,-0.0001201425896171395,0.0005521779506856881,-0.00010454186815799338
GRUPOAVAL.CL,0.0006293834844639483,0.0010318942268926028,0.0010641788264624007,0.00035478376338828917,0.0010217647851535393,0.0024694605784851996,0.0015705381299909967,0.0008920999777207038,0.0011921764713147905,0.000693962652578794,0.0007942613312268403,0.0036748142297945274,0.0017916718871395076,0.0012087805307369633,0.0011367337818608593,0.0019178710441914587,0.00451009479824014,0.0005119025724885162,0.002187704586508565,0.0013800519696660555,0.0008503436317475164,0.0013990677533723618,0.0008905187365736015,0.0025417011878066825,-0.0003149709335206495,0.0001866675864432215,0.0006305048049895903,0.0002461961847294431,7.674906700047806e-05,0.0003269636555559673,-7.714521402313299e-05,0.00021601720172038762,-0.00010520017956156078,5.271309414173528e-05,0.00013641833204110028,0.0007925826521687008,-0.00019353315875588796,0.0009766995463065691,0.0008802286589428591,-0.0004067735989169061
GRUPOSURA.CL,0.0004323859563343405,0.0007150050191544496,-0.0001982549542800545,0.00047066485423187613,0.0003353913198794463,0.0030606137491203163,2.954238624410212e-05,-0.0002525917979125932,0.000548639475515648,0.0017281920973817517,0.0009713029812658734,0.0017916718871395076,0.005121198634111703,0.0009923821546909159,0.0008589645068118941,0.0018495415347670712,0.006210929665055501,-0.0011029059923613664,0.001613990850183769,0.000671505622766911,0.0007621163903319836,0.0020620495745183503,0.0007355921628235343,0.003084023206159813,0.00044054999352418,0.0004256416123945319,0.0002547098116634955,-0.00034200441857781534,2.3331175957799704e-07,-0.0007365583975062544,-0.00023183832910775334,0.00044612722018627025,-0.0007624714926905631,1.1042727134345025e-05,-0.0007912097147416722,0.000597197678564621,0.00034342576531258713,0.0005645610696040933,0.0007992424685245569,-0.00010088592289093287
HCOLSEL.CL,0.00030658088519217865,0.0005110898661192509,0.000355223899794494,0.0001940540576296434,0.0003756692596827292,0.001023640157578607,0.0004993170487434097,0.0001141228427647275,0.0004126545295421161,0.000473213477575926,0.0003911414050113409,0.001208780530736963,0.0009923821546909157,0.0006755387221440671,0.0004559646670301078,0.0007724981942609707,0.0020941926277495363,-4.127582571911497e-05,0.00088699911300948,0.0005442621083460705,0.00036289551991528944,0.0006070952810815802,0.0003901067999621069,0.0012074245317083533,1.3540269507090734e-05,0.00017136363284109054,0.00019628369699553668,-2.2511408825995557e-05,2.396284620732474e-05,6.649896536316853e-05,-9.909046784706223e-05,0.00012788344695159593,-0.00011777656480662426,-1.3050496912081727e-05,-0.0001250308282304333,0.000295085065346037,-0.00023953829672361733,0.00034638260656317334,0.0003822058753411104,-0.0001619470115078779
ICOLCAP.CL,0.00036547976104593893,0.0004914306995212005,0.0002832752671691393,0.00022222151022322612,0.00028708546613805174,0.0009854430230031052,0.0005438903708224082,0.0005127332838781932,0.0004576064707686943,0.0003646416068988929,0.00038995584400914777,0.001136733781860859,0.000858964506811894,0.00045596466703010785,0.0007349281943543119,0.0007698353376169172,0.002301315709844893,0.00032481446519163666,0.0008265789634069412,0.0006443122476951827,0.00027655014963090687,0.0006175433576851296,0.00042504842133196256,0.0011150262946721166,-8.224336761583075e-05,6.652280628739564e-05,0.0003757175380833187,-7.43847329157863e-05,8.090173475044854e-06,8.791140194571435e-05,-2.1068186442469403e-05,0.00010315764005636391,-0.00013674762263362104,2.1360041800647046e-05,4.7804565617033785e-05,0.00025169932326754997,0.0002817530304355054,0.0005546951275303422,0.00038700636318518626,-2.354286332226209e-05
ISA.CL,0.00015133893276674833,0.00054921586217715,0.00029296904707850485,0.0003609201387598081,0.000494308887791522,0.0017600774662910408,0.0006805540442030174,0.00025182285908604917,0.0010313440679075437,0.000810721531788344,0.0004546439185559294,0.001917871044191459,0.0018495415347670715,0.0007724981942609709,0.0007698353376169174,0.0020974417967520023,0.004871145476238587,3.873854405457394e-05,0.0010107710301795745,0.0007098699519676576,0.0004389634852590405,0.0011573488420195113,0.00047259779091186503,0.0020498814412863364,-0.00027328363950638153,-1.9914325840989203e-05,0.0004409233554904679,0.00022809125128837892,4.413513571283402e-05,-8.709738831661058e-05,-0.0002046087178814979,-3.636164635041283e-05,-7.230689589068244e-05,7.65535557657131e-05,1.1331428376050529e-05,0.0004629475471003782,-0.00023820596319936002,0.0008315370790364015,0.0007285494428773694,-0.0003098248163401559
MINEROS.CL,0.0012444826329034626,0.0025797799275114287,0.0011815907530199163,0.0017685636592853398,0.0006106985110425292,0.007334724011027901,0.00021888170770111175,-0.004292725466258835,0.005784825598293565,0.002162602191490822,-1.6929987246736418e-05,0.004510094798240139,0.0062109296650555,0.002094192627749536,0.002301315709844893,0.004871145476238587,0.05656252171102271,-0.004135735695038031,0.0033750030688166135,0.0022016813442294245,0.002038851341048691,0.00496510586302497,0.0013058408611691774,0.004282513385333251,0.001825153511606158,0.0009256108080180815,0.001053418187710456,-0.0006564994680632638,-4.429037830253911e-06,-0.0024418322988037683,-0.0014769463490683342,0.0007213563597801995,0.0035488765525048933,5.766597170269187e-05,-0.0015791429640508604,0.001070028121549021,-0.006124155013070077,0.006336881618392551,0.0030726415243299567,-0.004869279009752007
NUTRESA.CL,0.0002058253043358709,8.950091379552847e-05,0.00044579985155935843,-0.0003306843436837556,-0.0007815820695354046,-0.0008792344032984633,0.0011329363587126654,0.0026358508040130826,0.0005485091973767548,-0.0008234106916007878,-0.0010869664367943262,0.0005119025724885162,-0.0011029059923613666,-4.127582571911497e-05,0.0003248144651916366,3.8738544054573935e-05,-0.004135735695038031,0.00915836553882831,-0.0001825256667730645,0.0001696380139733988,0.00013605529093318412,-0.0009615127386435582,0.0002623683155390525,0.0003631228379385024,-0.0011669642074982058,-0.0005210618037382007,0.0010620015138174776,0.0012364951026567087,0.00017972368553505677,0.00022149289503288328,0.0005119178160899401,-0.0003565988164230789,0.0009002366552325301,-0.0004127741559440404,0.001452846333273789,0.0005072150980609044,0.0013708887783174136,0.0009445975522011423,-0.00033435349504068766,0.0009563282588758468
PFAVAL.CL,0.0008343212137883425,0.00107390087244917,0.0006928544452317056,0.00038567071775348356,0.0008606423988528083,0.002408683734829731,0.0012062368429915985,0.0008796215548762268,0.00030436439707487385,0.000925342671826391,0.0007188721340599668,0.0021877045865085656,0.001613990850183769,0.0008869991130094801,0.0008265789634069414,0.0010107710301795743,0.0033750030688166135,-0.0001825256667730645,0.0027992388151540076,0.0011967357194839641,0.0009272522192461447,0.00119884351119563,0.0005314520251126045,0.0016145701780292026,0.0005188960078221476,0.0008218039903851957,0.0003744512561843831,-0.0004419534587201711,-2.5882387319503124e-05,9.921922872713433e-05,0.00015176722616123086,0.0006364034301605316,-0.00045122418921689445,0.0001653121525271784,-0.000356365320897995,0.0004926817568832645,-2.3330318190625183e-05,0.0005558774322187227,0.00045682821452660465,-1.6129658231878414e-05
